小区,户型,面积,价格,单价,朝向,位置,地铁
世纪新城东区,4室2厅1厨2卫,137.64㎡,810,58850元/平米,南,西湖 嘉绿 ,近地铁2号线古翠路站
金都夏宫,1室1厅1厨1卫,49.04㎡,123,25082元/平米,南 西,余杭 临平 ,
大关南八苑,2室1厅1厨1卫,63.32㎡,215,33955元/平米,南,拱墅 大关 ,
龙湖春江郦城,3室2厅1厨1卫,88.34㎡,555,62826元/平米,南 北,滨江 滨江区政府 ,
爵士风情花园,3室2厅1厨2卫,114㎡,230,20176元/平米,南,余杭 闲林 ,
中兴花园,4室2厅1厨2卫,150.01㎡,585,38998元/平米,南 北,滨江 滨江区政府 ,
金都夏宫,3室2厅1厨1卫,89㎡,209,23484元/平米,南,余杭 临平 ,
爵士风情花园,2室2厅1厨2卫,93.93㎡,195,20761元/平米,南,余杭 闲林 ,
绿都御景蓝湾,3室2厅1厨2卫,89㎡,253,28427元/平米,南,萧山 义桥 ,
潮鸣苑,2室1厅1厨1卫,57.15㎡,215,37621元/平米,西 北 南,下城 潮鸣 ,近地铁2号线建国北路站
观邸国际,3室2厅1厨2卫,117㎡,445,38035元/平米,南,滨江 浦沿 ,
清水公寓,3室2厅1厨2卫,138.52㎡,610,44037元/平米,南,拱墅 德胜 ,
新华路小区,2室1厅1厨1卫,49.5㎡,246,49697元/平米,南,下城 长庆 ,近地铁2号线中河北路站
泊悦府,3室2厅1厨1卫,88.73㎡,270,30430元/平米,南,余杭 未来科技城 ,
天成嘉苑,3室2厅1厨2卫,129.76㎡,495,38148元/平米,南,江干 三里亭 ,近1号线(临平-湘湖)闸弄口站
后珠美邻嘉苑,3室2厅1厨1卫,89.6㎡,225,25112元/平米,南 北,江干 丁桥 ,
万科郡西澜山,3室2厅1厨2卫,123.96㎡,345,27832元/平米,南 北,余杭 良渚 ,
融信蓝孔雀,3室2厅1厨2卫,89㎡,460,51686元/平米,南,拱墅 申花 ,
理想银泰城,3室2厅1厨1卫,91.15㎡,248,27208元/平米,南,余杭 临平 ,
金都新城,2室2厅1厨1卫,88.77㎡,367,41343元/平米,南,西湖 文三西路 ,近地铁2号线丰潭路站
阳光城上府,3室2厅1厨2卫,89㎡,306,34383元/平米,南,萧山 西兴 ,近1号线(临平-湘湖)滨康路站
保利罗兰香谷,3室2厅1厨1卫,89.9㎡,203,22581元/平米,南 北,江干 丁桥 ,
城发云锦城,3室2厅1厨1卫,88.64㎡,215,24256元/平米,南,江干 丁桥 ,
金昌春和钱塘,3室1厅1厨1卫,87㎡,420,48276元/平米,南,萧山 钱江世纪城 ,近地铁2号线飞虹路站
北大资源未名府,3室2厅1厨2卫,89㎡,360,40450元/平米,南,余杭 未来科技城 ,
宝嘉誉府,3室2厅1厨2卫,89㎡,306,34383元/平米,南 北,西湖 申花 ,近地铁2号线三墩站
奥克斯时代未来之城,3室1厅1厨1卫,94.94㎡,325,34233元/平米,南,余杭 未来科技城 ,
富力新线公园,3室1厅1厨1卫,89㎡,368,41349元/平米,南 北,余杭 未来科技城 ,
佳境天城成合苑,2室2厅1厨2卫,110.35㎡,350,31718元/平米,南 北,萧山 钱江世纪城 ,近地铁2号线振宁路站
新城香悦奥府,4室2厅1厨2卫,116.6㎡,418,35850元/平米,东 南 北,萧山 萧山新城区 ,
万通时尚公馆,3室1厅1厨1卫,89㎡,340,38203元/平米,南,余杭 未来科技城 ,
恒大帝景,3室2厅1厨2卫,89.06㎡,278,31215元/平米,南 北,萧山 南部卧城 ,
石灰桥新村,2室1厅1厨1卫,54㎡,320,59260元/平米,南,西湖 文教 ,近地铁2号线沈塘桥站
理想康城国际,3室2厅1厨2卫,138.96㎡,345,24828元/平米,南,余杭 临平 ,
伊萨卡国际城浩泽园,2室2厅1厨1卫,89.6㎡,252,28125元/平米,南,钱塘新区 沿江北 ,近1号线(下沙江滨-湘湖)下沙江滨站
滨江金色江南,3室1厅1厨2卫,89.88㎡,425,47286元/平米,南,萧山 钱江世纪城 ,近地铁2号线飞虹路站
金地艺境,3室2厅1厨2卫,88.54㎡,218,24622元/平米,南,余杭 乔司 ,近1号线(临平-湘湖)翁梅站
融创河滨之城雨澜轩,3室2厅1厨2卫,89㎡,475,53371元/平米,南 北,西湖 西溪 ,
东方福邸,3室2厅1厨2卫,138.48㎡,770,55604元/平米,南,拱墅 申花 ,
德圣博奥城,3室1厅1厨1卫,88.71㎡,358,40357元/平米,南,萧山 萧山新城区 ,
嘉泰馨庭,3室2厅1厨2卫,124.71㎡,590,47310元/平米,南 北,拱墅 桥西 ,
秋月社区,3室2厅1厨2卫,156.03㎡,218,13972元/平米,南,富阳 富阳 ,
滨江金色江南,4室2厅1厨2卫,117㎡,610,52137元/平米,南 北,萧山 钱江世纪城 ,近地铁2号线飞虹路站
莱茵知己,3室1厅1厨1卫,85.34㎡,191,22382元/平米,南,余杭 临平 ,
华艺星座,3室2厅1厨2卫,127.32㎡,260,20421元/平米,南,余杭 星桥 ,
奥兰多小镇,1室1厅1厨1卫,54.57㎡,188,34452元/平米,南 北,萧山 湘湖 ,近1号线(临平-湘湖)湘湖站
复兴南苑,2室1厅1厨1卫,47.82㎡,210,43915元/平米,南,上城 复兴 ,近地铁4号线复兴路站
绿都御景蓝湾,4室2厅1厨2卫,89㎡,255,28652元/平米,南,萧山 义桥 ,
中山苑,1室0厅1厨1卫,34.61㎡,145,41896元/平米,北,上城 清波 ,近1号线(临平-湘湖)定安路站
流水北苑,2室1厅1厨1卫,54.45㎡,210,38568元/平米,南,下城 流水苑 ,近1号线(临平-湘湖)打铁关站
爵士风情花园,3室2厅1厨2卫,102.76㎡,205,19950元/平米,南 北,余杭 闲林 ,
花园南村,3室1厅1厨1卫,71.27㎡,465,65245元/平米,南 西 北,西湖 文教 ,近地铁2号线学院路站
保亿风景蝶院观园,2室1厅1厨1卫,86.47㎡,289,33422元/平米,南,滨江 白马湖 ,
涌金门社区,1室1厅1厨1卫,45.99㎡,185,40227元/平米,东,上城 湖滨 ,近1号线(临平-湘湖)定安路站
朝晖七区,2室0厅1厨1卫,43.56㎡,166,38109元/平米,南,下城 朝晖 ,近1号线(临平-湘湖)西湖文化广场站
通和戈雅公寓,3室1厅1厨2卫,137.64㎡,325,23613元/平米,南 北,萧山 闻堰 ,
珠碧苑,1室0厅1厨1卫,30.87㎡,140,45352元/平米,南,下城 潮鸣 ,近地铁2号线建国北路站
滨江曙光之城,3室1厅1厨1卫,89.8㎡,400,44544元/平米,南,江干 火车东站 ,
桃源春居,3室1厅1厨1卫,80.66㎡,250,30995元/平米,南 北,西湖 嘉绿 ,
青春坊,3室1厅1厨2卫,74.89㎡,305,40727元/平米,南,下城 长庆 ,近地铁2号线中河北路站
金田花园,2室1厅1厨1卫,69.26㎡,280,40428元/平米,南,西湖 文三西路 ,
梅堰小区,3室1厅1厨1卫,75.3㎡,138,18327元/平米,南,余杭 临平 ,
嘉绿名苑,2室2厅1厨1卫,79.2㎡,417,52652元/平米,南,西湖 嘉绿 ,近地铁2号线古翠路站
星洲花园圣陶沙韵,2室1厅1厨1卫,89㎡,548,61574元/平米,南 北,西湖 文一西路 ,近地铁2号线文新站
金地自在城悦活轩,2室1厅1厨1卫,48.68㎡,190,39031元/平米,南,西湖 三墩 ,近地铁2号线金家渡站
朝晖七区,2室1厅1厨1卫,57.96㎡,215,37095元/平米,南 北,下城 朝晖 ,近1号线(临平-湘湖)西湖文化广场站
九龙仓珑玺,3室2厅1厨2卫,89.78㎡,420,46782元/平米,南 北,拱墅 申花 ,
都市阳光嘉苑,2室2厅1厨1卫,61.36㎡,163,26565元/平米,南,西湖 良渚 ,
中旅紫金名门,3室2厅1厨1卫,87.65㎡,330,37650元/平米,南,西湖 申花 ,
星耀城,1室1厅1厨1卫,43.97㎡,158,35934元/平米,南,滨江 滨江区政府 ,近1号线(临平-湘湖)江陵路站
九曲营小区,2室1厅1厨1卫,70㎡,136,19429元/平米,南,余杭 临平 ,
盛世嘉园,2室2厅1厨1卫,91.33㎡,238,26060元/平米,南,余杭 闲林 ,
宋都阳光国际,2室2厅1厨1卫,84.69㎡,288,34007元/平米,南,江干 九堡 ,
华天苑,2室1厅1厨1卫,63.78㎡,153,23989元/平米,南,江干 丁桥 ,
广厦天都城天河苑,1室1厅1厨1卫,25.64㎡,58,22621元/平米,西,余杭 星桥 ,
浴美施路住宅区,1室1厅1厨1卫,36.38㎡,60,16493元/平米,南,萧山 临浦 ,
凤凰南苑,2室1厅1厨1卫,52.7㎡,250,47439元/平米,南,上城 南星 ,近地铁4号线南星桥站
越秀星汇城,3室2厅1厨2卫,89㎡,153,17192元/平米,南,临安 临安 ,
宝龙城市广场,3室1厅1厨2卫,66㎡,141,21364元/平米,南 北,钱塘新区 高教园区东 ,
和昌府,3室2厅1厨2卫,87.02㎡,270,31028元/平米,南,余杭 良渚 ,
海威钱塘之星,2室2厅1厨1卫,64.92㎡,275,42360元/平米,南,滨江 滨江区政府 ,近1号线(临平-湘湖)江陵路站
绿城蓝庭西区,3室2厅1厨1卫,86.54㎡,230,26578元/平米,南,余杭 临平 ,
莱蒙水榭春天,3室2厅1厨1卫,83.76㎡,442,52770元/平米,南,滨江 奥体 ,
美好桂花星座,2室1厅1厨1卫,53.55㎡,145,27078元/平米,南,余杭 星桥 ,
德信东望,3室2厅1厨1卫,88.84㎡,385,43337元/平米,南,江干 城东新城 ,近1号线(临平-湘湖)彭埠站
山南人家,1室1厅1厨1卫,46.2㎡,190,41126元/平米,南,上城 复兴 ,近地铁4号线复兴路站
江南铭庭,2室2厅1厨1卫,87.68㎡,308,35128元/平米,南,滨江 白马湖 ,
翠苑一区,2室1厅1厨1卫,50.09㎡,234,46716元/平米,南,西湖 翠苑 ,近地铁2号线学院路站
广宇西城美墅,3室2厅1厨1卫,87.13㎡,515,59108元/平米,南,西湖 申花 ,近地铁2号线虾龙圩站
首开国风美域,3室1厅1厨1卫,87.93㎡,345,39236元/平米,南 北,西湖 申花 ,
风尚蓝湾,1室1厅1厨1卫,43.12㎡,85.5,19829元/平米,北,滨江 浦沿 ,
佳兆业西溪璞园,3室2厅1厨2卫,124.34㎡,320,25736元/平米,南 北,余杭 闲林 ,
景芳新五区,2室1厅1厨1卫,65.73㎡,270,41078元/平米,东南 北,江干 景芳 ,近地铁4号线景芳站
岸上蓝山,2室2厅1厨1卫,97.23㎡,225,23142元/平米,南,余杭 闲林 ,
复兴南苑,2室1厅1厨1卫,48.51㎡,209,43084元/平米,南 北,上城 复兴 ,近地铁4号线复兴路站
南岸晶都花园,1室1厅1厨1卫,58.54㎡,225,38436元/平米,南,滨江 长河 ,
北大资源未名府,3室2厅1厨2卫,88.72㎡,355,40014元/平米,南,余杭 未来科技城 ,
万科良渚文化村未来城,3室2厅1厨1卫,89㎡,278,31236元/平米,东南 南,余杭 良渚 ,
紫桂花园,4室2厅1厨2卫,152㎡,810,53290元/平米,南,西湖 文一西路 ,近地铁2号线丰潭路站
倾城之恋,3室2厅1厨2卫,123.99㎡,580,46778元/平米,南 北,滨江 滨江区政府 ,
枫华府第,1室0厅1厨1卫,46.2㎡,210,45455元/平米,南,西湖 翠苑 ,近地铁2号线学院路站
四季风景苑,2室2厅1厨1卫,89.23㎡,268,30035元/平米,南,钱塘新区 高教园区西 ,近1号线(下沙江滨-湘湖)文泽路站
万科良渚文化村未来城,3室1厅1厨1卫,88.4㎡,282,31901元/平米,南,余杭 良渚 ,
龙湖滟澜山茗轩南区三期,3室2厅1厨1卫,86㎡,345,40117元/平米,南,钱塘新区 金沙湖 ,近1号线(下沙江滨-湘湖)金沙湖站
大华海派风范,4室2厅1厨2卫,89.52㎡,335,37422元/平米,南,余杭 未来科技城 ,
星桥桂花城,3室2厅1厨2卫,132.6㎡,263.8,19895元/平米,南,余杭 星桥 ,
大关东一苑,2室1厅1厨1卫,51.64㎡,185,35825元/平米,南,拱墅 大关 ,
枫华府第,3室2厅1厨2卫,135.32㎡,730,53947元/平米,南,西湖 翠苑 ,近地铁2号线学院路站
华元美林公馆,2室1厅1厨1卫,90.07㎡,300,33308元/平米,南,余杭 西溪 ,
铭雅苑东区,2室1厅1厨1卫,80.31㎡,250,31130元/平米,南 北,余杭 三墩 ,近地铁2号线金家渡站
邮电新村,1室1厅1厨1卫,46.93㎡,340,72449元/平米,南,西湖 学军 ,近地铁2号线沈塘桥站
翠苑四区,2室1厅1厨1卫,56.53㎡,232,41041元/平米,东,西湖 翠苑 ,近地铁2号线学院路站
宋都东郡国际,2室2厅1厨1卫,68.04㎡,198,29101元/平米,南,钱塘新区 大学城北 ,
铭和苑探梅坊,2室2厅1厨1卫,89.44㎡,230,25716元/平米,南,钱塘新区 金沙湖 ,近1号线(下沙江滨-湘湖)金沙湖站
马塍路33号,2室1厅1厨1卫,54.89㎡,450,81983元/平米,南,西湖 学军 ,近地铁2号线沈塘桥站
嘉南公寓瀑水居,2室1厅1厨1卫,63.85㎡,425,66563元/平米,南,西湖 文一西路 ,近地铁2号线文新站
恒大帝景,3室2厅1厨2卫,89.86㎡,280,31160元/平米,南,萧山 南部卧城 ,
美之园西区,3室2厅1厨1卫,100.74㎡,285,28291元/平米,南,萧山 湘湖 ,
越秀亲爱里,3室2厅1厨2卫,88.18㎡,378,42867元/平米,南,江干 九堡 ,
青枫墅园,3室1厅1厨1卫,89㎡,240,26967元/平米,东南,余杭 闲林 ,
塘栖一小区,3室1厅1厨1卫,78.3㎡,120,15326元/平米,南 北,余杭 塘栖 ,
朗诗未来街区,3室2厅1厨1卫,85.08㎡,235,27622元/平米,南,余杭 乔司 ,近1号线(临平-湘湖)翁梅站
中国铁建保利像素,3室2厅1厨2卫,89.32㎡,240,26870元/平米,南 北,钱塘新区 大学城北 ,
城发云锦城,3室2厅1厨2卫,118.88㎡,300,25236元/平米,南,江干 丁桥 ,
理想康城国际,2室2厅1厨1卫,86.27㎡,235,27241元/平米,东 南,余杭 临平 ,
海德公园,3室2厅1厨2卫,89.65㎡,285,31791元/平米,西南,余杭 勾庄 ,
中尚橄榄树花园（南区）,3室2厅1厨1卫,85㎡,198,23295元/平米,南,余杭 崇贤 ,
丰惠家园,3室2厅1厨1卫,87.29㎡,186,21309元/平米,南,余杭 乔司 ,
中国铁建西湖国际城,4室1厅1厨2卫,89㎡,295,33147元/平米,南,西湖 良渚 ,
美政花苑,2室1厅1厨1卫,50.42㎡,225,44626元/平米,南,上城 复兴 ,近地铁4号线复兴路站
野风海天城,2室1厅1厨1卫,94㎡,260,27660元/平米,南,钱塘新区 沿江北 ,近1号线(下沙江滨-湘湖)云水站
北大资源未名府,4室2厅1厨2卫,130.23㎡,520,39930元/平米,东 南,余杭 未来科技城 ,
天汇园,4室2厅1厨2卫,203.26㎡,385,18942元/平米,南,萧山 萧山新城区 ,
新湖菲林山,3室2厅1厨2卫,88.65㎡,290,32713元/平米,南,余杭 闲林 ,
德信泊林春天,3室1厅1厨2卫,89㎡,260,29214元/平米,南,萧山 钱江世纪城 ,
后珠美都雅苑,3室2厅1厨1卫,91.62㎡,215,23467元/平米,南 北,江干 丁桥 ,
光明尚海湾,3室2厅1厨2卫,87.47㎡,240,27438元/平米,南 北,萧山 南部卧城 ,
爱丁郡,3室2厅1厨2卫,88.63㎡,280,31593元/平米,南,余杭 翡翠城 ,
保利东湾,4室2厅1厨2卫,187.47㎡,380,20270元/平米,南,钱塘新区 沿江南 ,
绿城风华苑,2室1厅1厨1卫,82㎡,170,20732元/平米,南,余杭 临平 ,
滨江江南之星,3室2厅1厨2卫,89㎡,370,41574元/平米,南,萧山 萧山新城区 ,
朝晖二区,3室1厅1厨1卫,69.87㎡,285,40791元/平米,南,下城 朝晖 ,近1号线(临平-湘湖)西湖文化广场站
碧桂园珑悦,3室2厅1厨2卫,118.61㎡,526,44348元/平米,南 北,萧山 钱江世纪城 ,
合景映月台,4室2厅1厨2卫,118.66㎡,525,44245元/平米,南,余杭 闲林 ,
杭钢北苑,2室1厅1厨1卫,67㎡,172,25672元/平米,南 北,拱墅 半山 ,
欣盛东方郡西区,3室2厅1厨1卫,117.11㎡,625,53369元/平米,南,滨江 滨江区政府 ,近1号线(临平-湘湖)滨和路站
滨江江南之星,4室2厅1厨2卫,139㎡,625,44965元/平米,南,萧山 萧山新城区 ,
金地自在城悦活轩,1室1厅1厨1卫,43.52㎡,175,40212元/平米,东南,西湖 三墩 ,近地铁2号线金家渡站
龙湖春江郦城,3室2厅1厨1卫,85㎡,548,64471元/平米,南,滨江 滨江区政府 ,
中海西溪华府,3室2厅1厨1卫,89㎡,430,48315元/平米,南,西湖 西溪 ,
金隅观澜时代瀚庭,3室1厅1厨1卫,89㎡,235,26405元/平米,南,钱塘新区 沿江南 ,
湘湖家园,3室2厅1厨2卫,124.08㎡,323,26032元/平米,南,萧山 湘湖 ,
复兴南苑,1室1厅1厨1卫,44.04㎡,180,40872元/平米,南 北,上城 复兴 ,近地铁4号线复兴路站
众安白马山庄,3室2厅1厨1卫,83.48㎡,202,24198元/平米,南,西湖 小和山 ,
坤和和家园,4室2厅1厨2卫,168㎡,720,42858元/平米,南 北,西湖 西溪 ,
翠苑一区,2室1厅1厨1卫,52.01㎡,235,45184元/平米,南,西湖 翠苑 ,近地铁2号线学院路站
云厦连园,3室1厅1厨1卫,88.7㎡,363,40925元/平米,南 北,滨江 西兴 ,近1号线(临平-湘湖)西兴站
德圣博奥城,2室1厅1厨1卫,76.63㎡,320,41760元/平米,南,萧山 萧山新城区 ,
顺发和美家,4室2厅1厨2卫,89㎡,540,60675元/平米,南,萧山 钱江世纪城 ,近地铁2号线飞虹路站
东海闲湖城,3室2厅1厨2卫,99.78㎡,253,25356元/平米,南,余杭 闲林 ,
金田花园,3室1厅1厨1卫,74.2㎡,293,39488元/平米,南,西湖 文三西路 ,
海德公园,3室2厅1厨2卫,89.21㎡,280,31387元/平米,南,余杭 勾庄 ,
中铁九逸,3室2厅1厨1卫,86.27㎡,190,22024元/平米,南,余杭 临平 ,
金基晓庐,2室2厅1厨1卫,93.17㎡,638,68477元/平米,南,江干 钱江新城 ,近地铁4号线江锦路站
金都夏宫,4室1厅1厨1卫,88.71㎡,198,22320元/平米,南,余杭 临平 ,
海德公园,3室2厅1厨2卫,88.7㎡,265,29876元/平米,南 北,余杭 勾庄 ,
海德公园,3室2厅1厨2卫,89.56㎡,282,31488元/平米,南,余杭 勾庄 ,
物华小区,3室1厅1厨1卫,79.08㎡,299,37810元/平米,南,西湖 嘉绿 ,近地铁2号线丰潭路站
名仕家园,3室2厅1厨2卫,115.36㎡,600,52012元/平米,南,西湖 文一西路 ,近地铁2号线文新站
西溪诚园致诚苑,3室2厅1厨1卫,88.34㎡,580,65656元/平米,南,西湖 西溪 ,
体育场路2-70号,2室1厅1厨1卫,48.26㎡,175,36262元/平米,南 北,下城 建国北路 ,近地铁2号线建国北路站
九龙仓碧玺,3室2厅1厨2卫,85.66㎡,488,56970元/平米,南,拱墅 桥西 ,
越秀星汇城,2室2厅1厨1卫,80.62㎡,140,17366元/平米,东南 南,临安 临安 ,
青山鹤岭,2室2厅1厨1卫,74㎡,126,17028元/平米,南,临安 临安 ,
远大金地中心,2室0厅1厨1卫,46.63㎡,98,21017元/平米,南,余杭 三墩 ,近地铁2号线金家渡站
世茂江滨商业中心,1室1厅1厨1卫,52.74㎡,83,15738元/平米,南,钱塘新区 沿江南 ,近1号线(下沙江滨-湘湖)下沙江滨站
龙湖武林九里,3室2厅1厨2卫,89.76㎡,295,32866元/平米,南,江干 丁桥 ,
临城花苑,2室1厅1厨1卫,86.19㎡,160,18564元/平米,南,余杭 临平 ,
华元欢乐城,3室2厅1厨2卫,113㎡,252,22301元/平米,南,余杭 临平 ,近1号线(临平-湘湖)南苑站
紫金文苑,2室2厅1厨1卫,86.35㎡,420,48640元/平米,南 北,西湖 申花 ,近地铁2号线三坝站
火药局弄49号,2室1厅1厨1卫,45.85㎡,220,47983元/平米,南,上城 清波 ,近1号线(临平-湘湖)定安路站
保利玫瑰湾,3室2厅1厨2卫,89.58㎡,228,25453元/平米,南,钱塘新区 沿江南 ,
西溪路22-97号,1室1厅1厨1卫,45.8㎡,248,54149元/平米,南,西湖 黄龙 ,近地铁2号线武林门站
华天苑,2室1厅1厨1卫,63.9㎡,159,24883元/平米,南,江干 丁桥 ,
今日嘉园,2室2厅1厨1卫,97.46㎡,585,60025元/平米,南,西湖 文教 ,近地铁2号线学院路站
石板巷新村,2室1厅1厨1卫,41.41㎡,180,43468元/平米,南 北,下城 建国北路 ,近地铁2号线建国北路站
夕照新村,1室1厅1厨1卫,36.79㎡,218,59256元/平米,南 北,江干 四季青 ,
三里亭苑四区,2室1厅1厨1卫,50.51㎡,178,35241元/平米,南 北,江干 三里亭 ,
科技新村,2室2厅1厨1卫,73.73㎡,295,40011元/平米,南 北,西湖 文三西路 ,近地铁2号线丰潭路站
昆仑华府,3室2厅1厨2卫,88.3㎡,250,28313元/平米,南,余杭 良渚 ,
滨江江南之星,4室2厅1厨2卫,127㎡,530,41733元/平米,南,萧山 萧山新城区 ,
天阳文晖,3室2厅1厨2卫,88.32㎡,385,43592元/平米,南,江干 火车东站 ,
云溪新语,3室2厅1厨2卫,88.47㎡,450,50865元/平米,南,西湖 之江 ,
江南豪园,3室2厅1厨2卫,145.8㎡,660,45268元/平米,南,滨江 滨江区政府 ,近1号线(临平-湘湖)江陵路站
恒大帝景,4室2厅1厨2卫,87.59㎡,269,30712元/平米,南,萧山 南部卧城 ,
中铁九逸,3室1厅1厨2卫,115.65㎡,228,19715元/平米,南,余杭 临平 ,
昆仑天籁,3室2厅1厨2卫,118.93㎡,380,31952元/平米,南,江干 丁桥 ,
青年路小区,1室0厅1厨1卫,29.95㎡,150,50084元/平米,东,上城 湖滨 ,近1号线(临平-湘湖)定安路站
新湖香格里拉,5室2厅1厨3卫,236.35㎡,600,25387元/平米,南,余杭 良渚 ,
亲亲家园一期,4室2厅1厨2卫,166.52㎡,420,25223元/平米,南,余杭 三墩 ,近地铁2号线墩祥街站
北景园月桂苑,3室2厅1厨1卫,80.68㎡,245,30367元/平米,南,下城 石桥 ,
星洲花园格兰馨芦,2室1厅1厨1卫,85.48㎡,512,59898元/平米,南,西湖 文一西路 ,近地铁2号线文新站
万通时尚公馆,1室1厅1厨1卫,44.99㎡,110,24450元/平米,西,余杭 未来科技城 ,
西溪八方城,2室2厅1厨2卫,54.53㎡,136,24941元/平米,北,余杭 未来科技城 ,
杭州宏丰家居城宏丰公寓,2室1厅1厨1卫,71.54㎡,95,13280元/平米,南,余杭 闲林 ,
钱江水晶城,3室2厅1厨1卫,89.36㎡,410,45882元/平米,南,滨江 彩虹城 ,
浴美苑,4室2厅1厨2卫,152.74㎡,185,12113元/平米,南,萧山 临浦 ,
万科璞悦湾,3室2厅1厨1卫,89.17㎡,435,48784元/平米,南,滨江 浦沿 ,
怡景花城鸣翠苑,4室2厅1厨2卫,179.83㎡,349,19408元/平米,南 北,余杭 闲林 ,
东海柠檬郡,3室2厅1厨2卫,87.94㎡,255,28998元/平米,南,钱塘新区 工业园南 ,
白荡海人家,4室2厅1厨2卫,128㎡,715,55860元/平米,南,西湖 文教 ,
广宇西城美墅,3室2厅1厨1卫,88.87㎡,520,58513元/平米,南,西湖 申花 ,近地铁2号线虾龙圩站
金隅观澜时代朗轩,4室2厅1厨2卫,138㎡,349,25290元/平米,南,钱塘新区 沿江南 ,
世茂江滨花园碧景湾,3室2厅1厨2卫,123.82㎡,348,28106元/平米,南,钱塘新区 沿江南 ,近1号线(下沙江滨-湘湖)下沙江滨站
华元蒙卡岸,2室2厅1厨2卫,93.06㎡,315,33850元/平米,南,余杭 翡翠城 ,
滨江锦绣之城,4室2厅1厨2卫,109.97㎡,710,64564元/平米,南,拱墅 和睦 ,
金都西花庭,2室2厅1厨1卫,83.38㎡,240,28784元/平米,南 北,余杭 未来科技城 ,
莫干山路347号,1室1厅1厨1卫,45.33㎡,250,55152元/平米,西,西湖 学军 ,近地铁2号线沈塘桥站
盛世嘉园,1室1厅1厨1卫,37.55㎡,82,21838元/平米,北,余杭 闲林 ,
朗诗国际街区,2室2厅1厨1卫,82㎡,218,26586元/平米,南,钱塘新区 沿江北 ,近1号线(下沙江滨-湘湖)云水站
景芳三区,3室0厅1厨1卫,58.04㎡,230,39628元/平米,南,江干 景芳 ,近地铁4号线景芳站
三塘北村,2室1厅1厨1卫,57.3㎡,207,36126元/平米,南,下城 三塘 ,
美好桂花金座,2室1厅1厨1卫,89.64㎡,195,21754元/平米,南,余杭 星桥 ,
后珠辰秀嘉园,2室2厅1厨1卫,79.86㎡,200,25044元/平米,南,江干 丁桥 ,
盛世嘉园,2室2厅1厨1卫,84.67㎡,235,27755元/平米,南,余杭 闲林 ,
翠苑三区,1室1厅1厨1卫,44.8㎡,180,40179元/平米,南,西湖 翠苑 ,近地铁2号线古翠路站
翠苑二区,2室1厅1厨1卫,50.3㎡,225,44732元/平米,南,西湖 翠苑 ,近地铁2号线学院路站
闲林山水木兰苑,2室2厅1厨1卫,98.97㎡,230,23240元/平米,南,余杭 闲林 ,
龙湖香醍溪岸,2室2厅1厨1卫,88.84㎡,165,18573元/平米,南,余杭 崇贤 ,
野风海天城,2室1厅1厨1卫,82㎡,240,29269元/平米,南,钱塘新区 沿江北 ,近1号线(下沙江滨-湘湖)云水站
金隅观澜时代天筑,2室2厅1厨1卫,87.73㎡,245,27927元/平米,南,钱塘新区 沿江南 ,
邮电路16-38号,2室1厅1厨1卫,52.83㎡,390,73822元/平米,南 北,上城 湖滨 ,近1号线(临平-湘湖)龙翔桥站
华元十六街区,2室2厅1厨1卫,72.11㎡,85,11788元/平米,西北,钱塘新区 高教园区西 ,近1号线(下沙江滨-湘湖)文泽路站
建国南苑,1室1厅1厨1卫,45.69㎡,197,43117元/平米,南,上城 鼓楼 ,近1号线(临平-湘湖)城站站
仓基新村,2室1厅1厨1卫,55.94㎡,225,40222元/平米,南,拱墅 信义坊 ,
丽江公寓,2室2厅1厨1卫,87.84㎡,303,34495元/平米,南,江干 九堡 ,
豪波西溪润景,2室2厅1厨1卫,72㎡,115,15973元/平米,南,余杭 未来科技城 ,
宋都东郡之星,3室2厅1厨1卫,89㎡,235,26405元/平米,南 北,钱塘新区 大学城北 ,
融信学院府,3室2厅1厨2卫,89.84㎡,560,62334元/平米,南,拱墅 申花 ,
宋都晨光国际,4室2厅1厨2卫,135.56㎡,343,25303元/平米,东南 南,钱塘新区 沿江南 ,
石灰桥新村,2室1厅1厨1卫,54.76㎡,330,60263元/平米,南 北,西湖 文教 ,近地铁2号线沈塘桥站
金都夏宫,2室1厅1厨1卫,81.96㎡,165,20132元/平米,南,余杭 临平 ,
南岸花城,4室2厅1厨3卫,218.29㎡,518,23730元/平米,精装,萧山 闻堰 ,
金都夏宫,2室2厅1厨1卫,82㎡,170,20732元/平米,南,余杭 临平 ,
都市阳光嘉苑,2室2厅1厨1卫,61.36㎡,163,26565元/平米,南,西湖 良渚 ,
复兴南苑,1室1厅1厨1卫,36.1㎡,148,40998元/平米,东南,上城 复兴 ,近地铁4号线复兴路站
郡楓华庭,2室2厅1厨1卫,85.53㎡,513,59979元/平米,南 北,西湖 文教 ,
紫花苑,1室1厅1厨1卫,44.96㎡,175,38924元/平米,南,上城 复兴 ,近地铁4号线复兴路站
天虹公寓,2室1厅1厨1卫,89.86㎡,255,28378元/平米,南,西湖 申花 ,近地铁2号线三墩站
东厦东港花苑,2室1厅1厨1卫,87.67㎡,172,19620元/平米,南,余杭 临平 ,
近江家园六园,2室1厅1厨1卫,60.73㎡,345,56809元/平米,南,上城 近江 ,近1号线(临平-湘湖)近江站
广厦天都城天月苑,7室2厅1厨3卫,245.7㎡,310,12618元/平米,南,余杭 星桥 ,
